start_lat,start_lon,end_lat,end_lon,zone_noir_lat,zone_noir_lon,raduis,vitesse,distance_start_noir,distance_end_noir,temps
35.9980277,10.3921591,36.00126179999999,10.3158002,36.0251,10.32149963,1203.0,5.838889,5829.36928,1496.80137,998.3696007922057
36.0003074,10.3898084,35.9971,10.3148,36.0251,10.32149963,1203.0,6.361111,5531.12031,1968.2383100000002,869.5211119567008
36.0018183,10.3883171,35.9972,10.3148,36.0251,10.32149963,1203.0,13.336110999999999,5340.650570000001,1957.32205,400.46536580266917
36.00317879999999,10.3871369,35.9985,10.3151,36.0251,10.32149963,1203.0,6.391667,5183.99885,1810.27489,811.0558403621466
36.0083646,10.3821829,35.9986,10.3152,36.0251,10.32149963,1203.0,6.736111,4563.345789999999,1797.6494,677.4451593805388
36.00836470000001,10.3821828,35.9948,10.3143,36.0251,10.32149963,1203.0,19.177778,4563.3336899999995,2227.87738,237.94903090441449
36.00570889999999,10.385554199999998,35.9947,10.3142,36.0251,10.32149963,1203.0,9.733333,4948.4073,2240.5014300000003,508.39802768486396
36.00570870000001,10.3855543,35.9935,10.314,36.0251,10.32149963,1203.0,13.788889000000001,4948.42353,2374.92685,358.87035786567003
36.0057088,10.3855544,36.0012694,10.3157559,36.0251,10.32149963,1203.0,9.241667,4948.42805,1496.73129,535.4475604888166
36.0046521,10.386182000000002,35.9898,10.3131,36.0251,10.32149963,1203.0,17.013889000000002,5043.16831,2794.23618,296.4147885295361
36.0046522,10.386182000000003,35.9899,10.3131,36.0251,10.32149963,1203.0,25.513889000000002,5043.1642600000005,2783.3175899999997,197.6634867385368
36.0073448,10.384275,36.006,10.3168,36.0251,10.32149963,1203.0,9.127778,4778.251679999999,962.47692,523.4846509194243
35.9992209,10.390884,36.0063,10.3169,36.0251,10.32149963,1203.0,12.458333,5669.24635,928.0056099999999,455.05657538612917
36.0086814,10.3795436,36.0059,10.3167,36.0251,10.32149963,1203.0,11.997222,4327.46032,975.1483199999999,360.70519658634316
36.0089244,10.377151,35.9823,10.3115,36.0251,10.32149963,1203.0,15.594444000000001,4115.60245,3640.4037200000002,263.91466409446855
36.0100787,10.3743401,35.9886,10.2987,36.0251,10.32149963,1203.0,5.280556,3834.3722799999996,3344.34166,726.1304074798186
36.0107383,10.3728515,35.9764,10.3101,36.0251,10.32149963,1203.0,20.613889,3683.78914,4308.4366,178.70422897882102
36.0110046,10.371058,35.9886,10.3129,36.0251,10.32149963,1203.0,14.661110999999998,3521.7221,2928.67321,240.2084057613369
36.0111847,10.3697675,35.9876,10.3177,36.0251,10.32149963,1203.0,21.944444,3405.62316,2980.79351,155.19295726973078
36.0116826,10.3663678,35.9841,10.3119,36.0251,10.32149963,1203.0,11.941667,3099.30613,3437.05092,259.5371425111753
36.0127653,10.3593941,35.9874,10.3071,36.0251,10.32149963,1203.0,11.277778,2470.74591,3184.5951,219.08091381121358
36.01245510000001,10.3615827,35.9786,10.3106,36.0251,10.32149963,1203.0,11.177778,2666.4562,4059.70824,238.5497547008001
36.0114071,10.368181,35.9935,10.314,36.0251,10.32149963,1203.0,11.177778,3262.97853,2374.92685,291.91656248674826
36.0120667,10.3640772,35.9951,10.3143,36.0251,10.32149963,1203.0,8.277778,2891.37929,2195.12413,349.29413303908365
36.0137266,10.3530597,36.0195,10.3029,36.0251,10.32149963,1203.0,7.513889,1904.3930300000002,581.8662400000001,253.44971558669553
36.0147971,10.3458881,36.0168,10.3072,36.0251,10.32149963,1203.0,8.402778,1271.5625,379.92686000000003,151.32644227897012
36.0145554,10.3475286,36.0152,10.3114,36.0251,10.32149963,1203.0,4.9583330000000005,1415.16205,224.18764,285.41085280072963
36.0142777,10.3493749,36.0201,10.3104,36.0251,10.32149963,1203.0,4.775,1577.85457,1142.6077699999998,330.440747643979
36.0140044,10.3512203,36.0309,10.3167,36.0251,10.32149963,1203.0,7.438889,1740.9681699999999,776.03259,234.03604624292691
35.682500899999994,10.2184563,35.6800799,10.3186789,35.6789837,10.2741722,870.0,21.405556,4177.51082,3151.81472,195.16011730786158
36.0166065,10.3337581,36.029,10.3178,36.0251,10.32149963,1203.0,25.461111,248.68188999999998,546.58027,9.76712642272366
36.016255,10.3360756,36.0258,10.3195,36.0251,10.32149963,1203.0,11.347222,435.82329000000004,195.94856000000001,38.407928389873746
36.01601420000001,10.337845800000002,36.0235,10.3122,36.0251,10.32149963,1203.0,18.141667,580.78103,855.03799,32.013652879859386
36.0156345,10.3402652,36.0227,10.3205,36.0251,10.32149963,1203.0,13.138889,785.98967,281.60272000000003,59.82162342645562
35.6798865,10.2933007,35.6822,10.3311,35.6819,10.3301,700.0,8.061111,2631.28917,96.28328,326.41768237653594
35.6793984,10.286176699999997,35.6831,10.3351,35.6819,10.3301,700.0,19.544444,3276.95728,470.89742,167.66694821300624
35.6815053,10.2490116,35.6786,10.3192,35.6789837,10.2741722,870.0,22.288889,1419.78605,3197.2958399999998,63.6992741091761
35.6811414,10.3128701,35.6854481,10.3450289,35.6819,10.3301,700.0,11.444444,858.4974599999999,704.8843400000001,75.01434407822696
35.6714583,10.3153284,35.676,10.3204,35.6789837,10.2741722,870.0,20.438889,2940.5547,3318.68835,143.87057437417462
35.6938934,10.3964996,35.6749,10.3227,35.69087929999999,10.3722337,1230.0,15.780555999999999,986.89036,3583.7558299999996,62.538376974803676
35.6925201,10.417099,35.6745,10.3239,35.69087929999999,10.3722337,1230.0,7.233333,2825.8446,3500.15351,390.6697783718792
